Price,SqMeter,PrSqMtr,State,Year,Zone,Lat,Lon
450000,142,3169.01408450704,Poor,1960,Villa San Giovanni,45.52,9.225
159000,65,2446.15384615385,Good,1950,Gorla,45.5055,9.2289
360000,65,5538.46153846154,Good,2008,Gorla,45.5088,9.2237
219000,67,3268.65671641791,Fair,1960,Precotto,45.5115,9.2182
265000,76,3486.84210526316,Fair,1960,Turro,45.4968,9.22977
185000,62,2983.87096774194,Poor,1960,Precotto,45.5107,9.219
219000,50,4380,Good,-1,Turro,45.4994,9.2233
355000,76,4671.05263157895,Excellent,2024,Villa San Giovanni,45.5207,9.2294
299000,69,4333.33333333333,Excellent,2024,Villa San Giovanni,45.5207,9.2294
580000,121,4793.38842975207,Excellent,2024,Villa San Giovanni,45.5207,9.2294
129000,40,3225,Fair,1920,Turro,45.499,9.2208
160000,23,6956.52173913043,Good,-1,Gorla,45.5052,9.2225
375000,80,4687.5,Good,2011,Gorla,45.50606155,9.23060036
270000,71,3802.81690140845,Fair,1965,Precotto,45.5113,9.2247
315000,105,3000,Good,1960,Turro,45.5008,9.2236
249000,72,3458.33333333333,Fair,-1,Precotto,45.5136,9.2229
158000,80,1975,Fair,1970,Precotto,45.5135,9.2235
366600,65,5640,Excellent,2026,Precotto,45.5153,9.2218
480000,239,2008.36820083682,Fair,2006,Gorla,45.5071,9.2301
230000,51,4509.80392156863,Excellent,2024,Gorla,45.507,9.2284
535000,142,3767.60563380282,Fair,1970,Gorla,45.5052,9.2262
185000,65,2846.15384615385,Excellent,1960,Gorla,45.5052,9.2307
179000,53,3377.35849056604,Poor,1950,Gorla,45.5068,9.2283
275000,80,3437.5,Fair,1950,Ponte Nuovo,45.5066,9.2335
780000,215,3627.90697674419,Fair,1970,Precotto,45.5122,9.234
149000,35,4257.14285714286,Fair,1960,Gorla,45.5053,9.229
488000,100,4880,Good,2008,Precotto,45.51065063,9.23213959
269000,75,3586.66666666667,Good,1970,Turro,45.4959,9.2293
320000,100,3200,Fair,1970,Villa San Giovanni,45.5199,9.2252
259000,54,4796.2962962963,Good,2012,Precotto,45.513,9.2275
320000,98,3265.30612244898,Fair,1970,Precotto,45.5109,9.2324
100000,23,4347.82608695652,Fair,1950,Parco Trotter,45.495,9.2291
280000,175,1600,Fair,1970,Precotto,45.5135,9.2235
900000,170,5294.11764705882,Fair,1900,Gorla,45.5043,9.2232
275000,80,3437.5,Fair,1950,Gorla,45.5065,9.23314
295000,46,6413.04347826087,Good,-1,Gorla,45.50520325,9.22572613
391304,81,4830.91358024691,Excellent,2023,Gorla,45.5057,9.228
315000,90,3500,Good,1967,Ponte Nuovo,45.5052,9.234
219000,71,3084.50704225352,Fair,1960,Gorla,45.5055,9.2289
671000,137,4897.8102189781,Excellent,2026,Precotto,45.5162,9.2223
480500,101,4757.42574257426,Excellent,2026,Precotto,45.5153,9.2218
350000,115,3043.47826086957,Good,2000,Villa San Giovanni,45.5205,9.2261
168000,71,2366.19718309859,Good,1970,Turro,45.4971,9.22854
350000,70,5000,Fair,1700,Turro,45.5035,9.2209
550000,140,3928.57142857143,Poor,1950,Precotto,45.5106,9.2294
296000,59,5016.94915254237,Good,1959,Gorla,45.5056,9.226
570000,150,3800,Good,1940,Rovereto,45.4981,9.22
280000,65,4307.69230769231,Good,-1,Gorla,45.5062,9.232
229000,45,5088.88888888889,Good,2012,Precotto,45.513,9.2275
235000,78,3012.82051282051,Fair,1965,Gorla,45.5081,9.22875
450000,280,1607.14285714286,N/A,1930,Ponte Nuovo,45.5077,9.233
450000,280,1607.14285714286,Poor,-1,Ponte Nuovo,45.5077,9.233
450000,280,1607.14285714286,Poor,-1,Ponte Nuovo,45.50770187,9.2329998
290000,80,3625,Fair,1965,Gorla,45.5062,9.23349
205000,41,5000,Good,-1,Turro,45.50008011,9.22222996
295000,75,3933.33333333333,Good,2008,Gorla,45.5106,9.2315
380000,90,4222.22222222222,Excellent,2025,Ponte Nuovo,45.5108,9.2337
760000,184,4130.4347826087,Excellent,2025,Ponte Nuovo,45.5108,9.2337
418000,115,3634.78260869565,Excellent,2025,Ponte Nuovo,45.5108,9.2337
269000,150,1793.33333333333,Good,1960,Gorla,45.507,9.2273
275000,80,3437.5,Good,1968,Turro,45.5037,9.2254
540000,140,3857.14285714286,Fair,1960,Villa San Giovanni,45.5171,9.2231
197000,60,3283.33333333333,Fair,-1,Precotto,45.5106,9.21914
209000,40,5225,Good,1960,Turro,45.50120926,9.22358036
179000,74,2418.91891891892,Good,1950,Gorla,45.5062,9.22875
479000,81,5913.58024691358,Good,2017,Rovereto,45.4976,9.2211
633000,127,4984.25196850394,Excellent,2025,Turro,45.4994,9.2288
428000,86,4976.74418604651,Excellent,2025,Turro,45.4994,9.2288
302000,58,5206.89655172414,Excellent,2025,Turro,45.4994,9.2288
279000,53,5264.15094339623,Excellent,2025,Turro,45.4994,9.2288
249000,57,4368.42105263158,Good,1960,Turro,45.5004,9.2256
210000,65,3230.76923076923,N/A,1960,Turro,45.5017,9.2212
250000,50,5000,Good,2009,Villa San Giovanni,45.5187,9.2272
330000,90,3666.66666666667,Fair,1960,Villa San Giovanni,45.5202,9.2267
295000,50,5900,Good,-1,Gorla,45.5059,9.22994
606200,108,5612.96296296296,Excellent,2024,Precotto,45.5126,9.2198
524100,106,4944.33962264151,Excellent,2024,Precotto,45.5126,9.2198
518300,98,5288.77551020408,Excellent,2024,Precotto,45.5126,9.2198
517200,92,5621.73913043478,Excellent,2024,Precotto,45.5126,9.2198
448400,92,4873.91304347826,Excellent,2024,Precotto,45.5126,9.2198
448800,92,4878.26086956522,Excellent,2024,Precotto,45.5126,9.2198
488000,100,4880,Good,2008,Ponte Nuovo,45.5107,9.2323
550000,165,3333.33333333333,Good,2008,Turro,45.501,9.2257
625000,123,5081.30081300813,Excellent,2024,Precotto,45.5162,9.224
405000,100,4050,Fair,1976,Precotto,45.5147,9.2239
426000,105,4057.14285714286,Excellent,2023,Villa San Giovanni,45.5192,9.2281
340000,85,4000,Good,1970,Turro,45.4972,9.22476
210000,50,4200,Fair,1965,Turro,45.5011,9.2183
1195000,192,6223.95833333333,Excellent,2024,Villa San Giovanni,45.5201,9.2254
130000,35,3714.28571428571,Fair,1950,Gorla,45.5053,9.2288
260000,60,4333.33333333333,Good,1960,Turro,45.49945068,9.22095013
299000,125,2392,Fair,1960,Villa San Giovanni,45.5175,9.2254
980000,200,4900,Excellent,2024,Gorla,45.5059,9.2299
445000,85,5235.29411764706,Fair,2000,Precotto,45.5103,9.21896
